GEETPUS,197604,297.457,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197605,284.292,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197606,295.294,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197607,319.188,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197608,314.275,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197609,305.847,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197610,297.154,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197611,250.369,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197612,285.681,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197613,3616.407,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197701,309.738,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197702,270.536,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197703,306.644,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197704,273.459,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197705,295.233,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197706,290.299,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197707,307.065,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197708,281.44,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197709,301.267,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197710,315.065,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197711,316.511,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197712,315.079,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197713,3582.335,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197801,321.005,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197802,275.46,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197803,227.657,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
GEETPUS,197804,191.95,10,Electricity Net Generation From Geothermal, All Sectors,Million Kilowatthours
